first_name,last_name,email,designation,phone_number,website,facebook,linkedin,notes
Hemmm,Chandddd,hemchand.techwinlabs@gmail.com,Developer,9876543210,hemchand.com,facebook.com,linkdin.com,He is from HP
Neha,Rani,neharani.techwinlabs@gmail.com,Developer,1234567890,fgd.vd,facebook.com,linkdin.com,He is form HR
Harmandeep,One,harman1@yopmail.com,Developer,222222222,hemchand.com,facebook.com,linkdin.com,He is from PB
Harmandeep,Two,harman2@yopmail.com,Developer,1234567890,hemchand.com,facebook.com,linkdin.com,He is form PB
Hem,Chand,hemchand.techwinlabs@gmail.com,Developer,9876543210,hemchand.com,facebook.com,linkdin.com,He is from HP.
Harmandeep,Singh,harmandeep.techwinlabs@gmail.com,Developer,1234567890,hemchand.com,facebook.com,linkdin.com,He is form PB
Hemmm,Chandddd,hemchand.techwinlabs@gmail.com,Developer,9876543210,hemchand.com,facebook.com,linkdin.com,He is from HP
Neha,Rani,neharani.techwinlabs@gmail.com,Developer,1234567890,fgd.vd,facebook.com,linkdin.com,He is form HR
Harmandeep,One,harman1@yopmail.com,Developer,222222222,hemchand.com,facebook.com,linkdin.com,He is from PB
Harmandeep,Two,harman2@yopmail.com,Developer,1234567890,hemchand.com,facebook.com,linkdin.com,He is form PB
Hem,Chand,hemchand.techwinlabs@gmail.com,Developer,9876543210,hemchand.com,facebook.com,linkdin.com,He is from HP.
Harmandeep,Singh,harmandeep.techwinlabs@gmail.com,Developer,1234567890,hemchand.com,facebook.com,linkdin.com,HE is from PB
Harmandeep,Singh,harmandeep.techwinlabs@gmail.com,Developer,1234567890,hemchand.com,facebook.com,linkdin.com,He is form PB
